Scaled Voxel Centers:
[[ 6.22536496e+01  2.82616882e+01 -2.80193166e+01]
 [ 6.09960459e+01  2.89828709e+01 -2.76773859e+01]
 [ 5.98154133e+01  2.97102290e+01 -2.73734476e+01]
 [ 5.99035235e+01  3.10668704e+01 -2.76583898e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 6.47547613e+01  3.65008157e+01 -3.04698195e+01]
 [ 6.43059809e+01  3.77396135e+01 -3.05648002e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 6.56818358e+01  1.59915951e+01 -2.10496024e+01]
 [ 6.77059274e+01  1.77386152e+01 -2.17944574e+01]
 [ 6.68785409e+01  1.87721470e+01 -2.16305893e+01]
 [ 6.53941917e+01  1.95901268e+01 -2.12581618e+01]
 [ 6.68189988e+01  2.12917764e+01 -2.18391487e+01]
 [ 6.62549520e+01  2.23902836e+01 -2.17795603e+01]
 [ 6.68439890e+01  2.38942914e+01 -2.21072965e+01]
 [ 6.56995964e+01  2.47839695e+01 -2.18689429e+01]
 [ 6.66339002e+01  2.64711540e+01 -2.23307530e+01]
 [ 1.34263036e+02  5.60647498e+01 -4.53169785e+01]
 [ 1.34400465e+02  5.88921909e+01 -4.57043031e+01]
 [ 1.34566415e+02  6.17812522e+01 -4.61214219e+01]
 [ 1.34887362e+02  6.47974066e+01 -4.66130262e+01]
 [ 1.34929603e+02  6.77360652e+01 -4.70301450e+01]
 [ 1.34909721e+02  7.06957412e+01 -4.74472638e+01]
 [ 1.35162692e+02  7.38586196e+01 -4.79835594e+01]
 [ 1.35220939e+02  7.69806075e+01 -4.84751637e+01]
 [ 1.35375207e+02  8.02243988e+01 -4.90263564e+01]
 [ 1.35538076e+02  8.35469130e+01 -4.96073433e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.20510565e+02  1.03446056e+02 -4.95030636e+01]
 [ 1.16539033e+02  1.03622417e+02 -4.86092376e+01]
 [ 1.12598684e+02  1.03692624e+02 -4.77154116e+01]
 [ 5.66706017e+01  1.03211766e+01 -1.26771160e+01]
