Scaled Voxel Centers:
[[ 1.24216518e+00  5.65438307e-01 -5.59401634e-01]
 [ 1.21707185e+00  5.79867180e-01 -5.52575038e-01]
 [ 1.19351434e+00  5.94419606e-01 -5.46506953e-01]
 [ 1.19527243e+00  6.21562252e-01 -5.52195783e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.29207059e+00  7.30280485e-01 -6.08325574e-01]
 [ 1.28311594e+00  7.55065408e-01 -6.10221851e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.31056878e+00  3.19947640e-01 -4.20252292e-01]
 [ 1.35095607e+00  3.54900687e-01 -4.35123216e-01]
 [ 1.33444698e+00  3.75578801e-01 -4.31851612e-01]
 [ 1.30482933e+00  3.91944319e-01 -4.24416151e-01]
 [ 1.33325892e+00  4.25989626e-01 -4.36015471e-01]
 [ 1.32200433e+00  4.47967719e-01 -4.34825797e-01]
 [ 1.33375756e+00  4.78058761e-01 -4.41369003e-01]
 [ 1.31092316e+00  4.95858761e-01 -4.36610308e-01]
 [ 1.32956559e+00  5.29614662e-01 -4.45830280e-01]
 [ 2.67898942e+00  1.12170076e+00 -9.04746973e-01]
 [ 2.68173157e+00  1.17827005e+00 -9.12479853e-01]
 [ 2.68504283e+00  1.23607218e+00 -9.20807570e-01]
 [ 2.69144677e+00  1.29641710e+00 -9.30622380e-01]
 [ 2.69228962e+00  1.35521154e+00 -9.38950097e-01]
 [ 2.69189292e+00  1.41442648e+00 -9.47277814e-01]
 [ 2.69694052e+00  1.47770694e+00 -9.57984879e-01]
 [ 2.69810273e+00  1.54016929e+00 -9.67799688e-01]
 [ 2.70118089e+00  1.60506859e+00 -9.78804171e-01]
 [ 2.70443066e+00  1.67154292e+00 -9.90403491e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.40458237e+00  2.06966981e+00 -9.88321562e-01]
 [ 2.32533723e+00  2.07319830e+00 -9.70476454e-01]
 [ 2.24671430e+00  2.07460295e+00 -9.52631346e-01]
 [ 1.13076500e+00  2.06498231e-01 -2.53096801e-01]
 [ 1.12411636e+00  2.25624803e-01 -2.52451695e-01]
 [ 1.11619142e+00  2.44373516e-01 -2.51591553e-01]
 [ 1.11840805e+00  2.65394901e-01 -2.53096801e-01]
 [ 1.15712834e+00  2.96006921e-01 -2.62988435e-01]
 [ 1.36462633e+00  3.74579574e-01 -3.11586461e-01]
 [ 1.37756062e+00  4.04111546e-01 -3.16102207e-01]
 [ 1.36750157e+00  4.27218077e-01 -3.15457101e-01]
 [ 2.65849584e+00  8.81747127e-01 -6.16721857e-01]
 [ 2.66297409e+00  9.35128663e-01 -6.21452639e-01]
 [ 2.66273009e+00  9.87574429e-01 -6.25323278e-01]
 [ 2.66510000e+00  1.04171680e+00 -6.30054059e-01]
 [ 2.66999802e+00  1.09772584e+00 -6.35644983e-01]
 [ 2.67464239e+00  1.15460720e+00 -6.41450942e-01]
 [ 2.67276883e+00  1.20956596e+00 -6.45966687e-01]
 [ 2.68037683e+00  1.26982595e+00 -6.53062859e-01]
 [ 2.68406140e+00  1.32941521e+00 -6.59513925e-01]
 [ 2.68560696e+00  1.38906740e+00 -6.65749955e-01]
 [ 2.69017771e+00  1.45149322e+00 -6.73061162e-01]
 [ 2.69082497e+00  1.51306074e+00 -6.79727263e-01]
